pref,year,emp.rate,cap.rate,age,age.hus,emp.rate.hus,urate,nuc.rate,numhh,hh.type
北海道,1990,0.270199052,0.187579122,31.64818103,34.17721104,0.989507609,0.036226665,0.824096511,250086,all
青森県,1990,0.450784448,0.363190506,31.40026512,34.2434338,0.982038545,0.044869305,0.564962781,68647,all
岩手県,1990,0.526724329,0.261866512,31.54297754,34.25208314,0.990067484,0.026278864,0.496609955,63126,all
宮城県,1990,0.420634255,0.132799058,31.50385343,34.19710736,0.990252267,0.027302886,0.579067535,107307,all
秋田県,1990,0.547322877,0.268256294,31.46496176,34.20592212,0.991810245,0.027171728,0.414471143,51772,all
山形県,1990,0.677741038,0.222824653,31.45861544,34.23096975,0.994908938,0.017453505,0.320299515,57159,all
福島県,1990,0.538244573,0.152795688,31.42488182,34.06136428,0.992049374,0.024239838,0.485892308,101753,all
茨城県,1990,0.364148799,0.179772714,31.51686211,34.37358059,0.990924687,0.023773701,0.604518347,134651,all
栃木県,1990,0.395588441,0.19369881,31.477754,34.24928213,0.991708162,0.022647601,0.574556639,92983,all
群馬県,1990,0.354379183,0.275512438,31.57554495,34.22953421,0.99188854,0.024601383,0.6395875,89503,all
埼玉県,1990,0.247636867,0.14565279,31.80699266,34.69450787,0.991412582,0.026742109,0.787490737,298227,all
千葉県,1990,0.269501091,0.18696395,31.8712513,34.78505831,0.990942164,0.026568948,0.770702641,254255,all
東京都,1990,0.279331459,0.250915655,32.26275305,35.21863764,0.98740058,0.030957403,0.882264496,458910,all
神奈川県,1990,0.210874347,0.128101716,31.92118003,34.86239249,0.991457578,0.029682621,0.856422249,359617,all
新潟県,1990,0.575734494,0.400573578,31.69854008,34.40796155,0.994305404,0.020190572,0.427348567,110280,all
富山県,1990,0.562245429,0.421816918,30.91888379,34.03386342,0.994496923,0.019920647,0.430388249,46156,all
石川県,1990,0.547978168,0.496571198,30.88862805,34.05880627,0.992742141,0.022517417,0.552868909,51117,all
福井県,1990,0.602614413,0.408975879,31.02258375,34.12102705,0.993736843,0.018869808,0.435718184,38479,all
山梨県,1990,0.390750549,0.361824781,31.80428885,34.7456401,0.993127503,0.02419682,0.602221935,38705,all
長野県,1990,0.429680332,0.435805094,32.0306907,34.96286531,0.993851314,0.017282248,0.526793718,94817,all
岐阜県,1990,0.3861687,0.322973184,31.11291539,34.33368174,0.993685617,0.020243151,0.519546571,92804,all
